Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
5013,The Dead Boys,Night Of The Living Dead Boys,Lolita,"LP, Album",,1981,572736,Punk,2015-09-20 00:47:36,Near Mint (NM or M-),Near Mint (NM or M-),
886 076-7,Run-DMC,Walk This Way,London Records,"7"", Single",,1986,1048949,Funk-Soul,2015-03-05 00:46:42,Near Mint (NM or M-),Near Mint (NM or M-),
LON 371,Marion (3),Let's All Go Together,London Records,"7"", Single, Num, Yel",,1995,1426199,Indie Rock,2015-10-22 08:37:23,Mint (M),Near Mint (NM or M-),
LDR 1201,Jimmy Castor,C,Long Distance Records,"LP, Album",,1980,882172,Funk-Soul,2015-09-07 22:25:05,Mint (M),Mint (M),
LM 182,Marco Lucchinelli,"Lei Cagiva, Lui Ducati / Voglio Dire",Lucky (3),"7""",,0,3179165,Pop,2015-03-05 00:45:19,Near Mint (NM or M-),Near Mint (NM or M-),
LULP 14904,Giorgio Zito & Diesel (19),Avanti Un Altro,Lupus,"LP, Album",,1981,5401163,POP ITALIANO,2015-09-11 05:19:14,Near Mint (NM or M-),Near Mint (NM or M-),
MASNP 007,P.E.P.E.,Shadilay,Magic Sound,"12""",,1986,597903,Italodisco,2015-09-11 04:34:19,Near Mint (NM or M-),Near Mint (NM or M-),UNPLAYED FROM RECORD SHOP GREAT COPY
SPIN 211,Rainer And Das Combo,Barefoot Rock With Rainer And Das Combo,Making Waves,"LP, Album",,1986,2220682,Alternative Rock,2015-10-14 10:01:09,Near Mint (NM or M-),Near Mint (NM or M-),
MAL 612,The Kinks,Well Respected Kinks,Marble Arch Records,"LP, Comp, Mono, Fli",,1966,926051,Rock,2015-10-14 03:39:43,Very Good Plus (VG+),Very Good Plus (VG+),
MCA 37046,Steppenwolf,The Second,MCA Coral,"LP, Album, RE",,0,6928064,Rock,2015-10-14 04:39:55,Near Mint (NM or M-),Near Mint (NM or M-),
088 112 727-2,Lynyrd Skynyrd,(Pronounced 'Lĕh-'nérd 'Skin-'nérd),MCA Records,"CD, Album, RE, RM",,2001,2009382,Rock,2015-03-03 04:38:28,Near Mint (NM or M-),Near Mint (NM or M-),
250 634-1,Camel,Camel,MCA Records,"LP, Album, RE",,0,5586923,Prog-Rock,2015-10-13 11:05:25,Near Mint (NM or M-),Near Mint (NM or M-),
MAPS 6624,Budgie,Never Turn Your Back On A Friend,MCA Records,"LP, Album",,1973,7062803,Hard Rock,2015-09-09 02:14:17,Very Good Plus (VG+),Very Good Plus (VG+),
MCA-5641,The Who,Who's Missing,MCA Records,"LP, Comp",,1985,487459,Rock,2015-10-05 09:52:30,Near Mint (NM or M-),Near Mint (NM or M-),
MCA-5712,The Who,Two's Missing,MCA Records,"LP, Comp",,1987,2479604,Rock,2015-10-05 09:50:03,Near Mint (NM or M-),Near Mint (NM or M-),
MCAD-10517,"Buddy Guy, Junior Mance & Junior Wells",Buddy And The Juniors,MCA Records,"CD, Album, RE",,0,5216726,Funk-Soul,2015-03-03 04:44:00,Near Mint (NM or M-),Near Mint (NM or M-),
"MCG 3507, 0C 064 ◦ 94992, MAPS 3977",Wishbone Ash,Wishbone Ash,"MCA Records, MCA Records, MCA Records","LP, Album, RE",,1974,1485058,Hard Rock,2015-10-13 13:18:40,Near Mint (NM or M-),Near Mint (NM or M-),
MKX 68002,Amanda Lear,No Credit Card / Jungle Beat,Merak Music,"7""",,1985,3563854,Pop,2015-04-17 04:15:16,Near Mint (NM or M-),Near Mint (NM or M-),
MR 019,The Sisters Of Mercy,Anaconda / Phantom,Merciful Release,"7"", Single",,1983,264414,Goth-Rock,2015-10-22 09:11:41,Mint (M),Near Mint (NM or M-),
132 505 MCF,Aphrodite's Child,I Want To Live,Mercury,"7"", Single",,1969,3148416,Rock,2015-03-05 00:42:35,Near Mint (NM or M-),Near Mint (NM or M-),
6005 003,Lee Patterson Singers,Oh Happy Day,Mercury,"7""",,1974,1973719,Pop,2015-04-17 03:43:22,Near Mint (NM or M-),Near Mint (NM or M-),
SRM-1-3795,Scorpions,Lovedrive,Mercury,"LP, Album",,1979,2968848,Hard Rock,2015-10-16 01:47:06,Near Mint (NM or M-),Very Good Plus (VG+),
CHIME 00.11 S,The Essence (4),Purity,Midnight Music,"LP, Album",,1985,848254,Goth-Rock,2015-09-22 10:53:04,Near Mint (NM or M-),Near Mint (NM or M-),
MIR LP 119,The Tryfles,The Tryfles,Midnight Records (2),"LP, Album",,1986,2625270,Garage-Punk,2015-10-05 07:41:49,Near Mint (NM or M-),Near Mint (NM or M-),
530 936-2,Commodores,Commodores,Motown,"CD, Album, RE, RM",,1998,1939971,Funk-Soul,2015-03-04 00:48:04,Near Mint (NM or M-),Near Mint (NM or M-),
Movement 007 EP,The Hunting Party (2),Velvet Garden,Movement Records (2),"7""",,1985,738370,New Wave,2015-10-22 02:16:02,Mint (M),Near Mint (NM or M-),
MT 007,The Splatcats,Sin 73,Moving Target (2),"LP, Album",,1986,2018144,Punk,2015-10-16 00:36:55,Near Mint (NM or M-),Near Mint (NM or M-),
